
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;;Localização geográfica (Portugal);
;;PT: Portugal;
;;% ;
Dezembro de 2024;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-1,2;
;Habitação, água, electricidade, gás e outros combustíveis;6,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-1,6;
;Saúde;3,6;
;Transportes;1,4;
;Comunicações;5,9;
;Lazer, recreação e cultura;1,5;
;Educação;3,7;
;Restaurantes e hotéis;4,5;
;Bens e serviços diversos;1,5;
Novembro de 2024;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-1,2;
;Habitação, água, electricidade, gás e outros combustíveis;5,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-1,4;
;Saúde;3,7;
;Transportes;1,3;
;Comunicações;5,9;
;Lazer, recreação e cultura;1,7;
;Educação;3,8;
;Restaurantes e hotéis;4,7;
;Bens e serviços diversos;1,3;
Outubro de 2024;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-1,2;
;Saúde;3,8;
;Transportes;1,3;
;Comunicações;5,8;
;Lazer, recreação e cultura;1,7;
;Educação;3,8;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;1,2;
Setembro de 2024;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-0,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,8;
;Saúde;3,9;
;Transportes;1,4;
;Comunicações;5,7;
;Lazer, recreação e cultura;1,7;
;Educação;3,9;
;Restaurantes e hotéis;5,5;
;Bens e serviços diversos;1,1;
Agosto de 2024;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;2,6;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-0,8;
;Habitação, água, electricidade, gás e outros combustíveis;2,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;4;
;Transportes;1,8;
;Comunicações;5,5;
;Lazer, recreação e cultura;1,8;
;Educação;3,8;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;1,1;
Julho de 2024;Total;3,1;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-0,8;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,1;
;Saúde;4,1;
;Transportes;2,1;
;Comunicações;5,3;
;Lazer, recreação e cultura;2;
;Educação;3,7;
;Restaurantes e hotéis;7,1;
;Bens e serviços diversos;1,1;
Junho de 2024;Total;3,2;
;Produtos alimentares e bebidas não alcoólicas;3,2;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;-0,8;
;Habitação, água, electricidade, gás e outros combustíveis;1,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,6;
;Saúde;4,2;
;Transportes;1,8;
;Comunicações;5,1;
;Lazer, recreação e cultura;2,3;
;Educação;3,6;
;Restaurantes e hotéis;8;
;Bens e serviços diversos;1,1;
Maio de 2024;Total;3,3;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-0,6;
;Habitação, água, electricidade, gás e outros combustíveis;0,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;4,3;
;Transportes;1,3;
;Comunicações;4,9;
;Lazer, recreação e cultura;2,6;
;Educação;3,5;
;Restaurantes e hotéis;8,9;
;Bens e serviços diversos;1,2;
